"('ACC', np.int64(117))","('SEC', np.float64(63.5))","('Big Ten', np.int64(53))","('Pac-10', np.int64(103))","('Big 12', np.float64(65.5))","('Big East', 'DNS')","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')","('CUSA', 'DNS')","('WAC', 'DNS')"
"('Florida State', 1)","('Tennessee', 2)","('Penn State', 3)","('Arizona', 4)","('Nebraska', 6)","('Miami (FL)', 12)","('Notre Dame', 18)","('BYU', 26)","('Marshall', 27)","('Louisville', 33)","('TCU', 44)"
"('Georgia Tech', 11)","('Florida', 5)","('Michigan', 8)","('UCLA', 16)","('Texas A&M', 7)","('Virginia Tech', 13)",,"('Air Force', 30)","('Miami (OH)', 42)","('Southern Miss', 40)",
"('Virginia', 24)","('Georgia', 14)","('Ohio State', 9)","('USC', 19)","('Colorado', 15)","('Syracuse', 31)",,"('Wyoming', 34)","('Western Michigan', 48)",,
"('North Carolina', 38)","('Alabama', 20.5)","('Wisconsin', 10)","('Arizona State', 25)","('Texas', 17)","('West Virginia', 47)",,"('Utah', 46)",,,
"('NC State', 43)","('Arkansas', 22)","('Purdue', 23)","('Oregon', 39)","('Kansas State', 20.5)",,,,,,
,"('Mississippi State', 28)","('Michigan State', 29)","('Washington', 41)","('Oklahoma State', 36)",,,,,,
,"('Mississippi', 32)",,,"('Missouri', 37)",,,,,,
,"('LSU', 35)",,,"('Texas Tech', 45)",,,,,,
