AP_XC_5_Team_Race,ACC,Big Ten,SEC,Big 12,Pac-12,American,Mountain West,Sun Belt,CUSA,FBS Indep.,MAC
Preseason,86.0,56.0,32.0,93.0,110.0,150.5,,,,,
Week 2,,,,,,,,,,,
Week 3,55.0,,25.0,76.0,,110.0,,,,,
Week 4,51.0,,25.5,79.5,,,,167.0,,,
Week 5,50.0,86.0,29.0,107.0,,,,,,,
Week 6,40.0,76.0,36.0,112.0,165.0,131.5,,,,,
Week 7,46.0,74.0,41.0,113.0,156.0,122.0,,,,,
Week 8,48.5,66.5,53.0,99.0,156.0,,,,,,
Week 9,73.5,60.0,56.0,110.5,141.5,,,,,,
Week 10,81.0,75.0,46.0,104.0,139.5,,,,,,
Week 11,74.0,81.0,48.0,,121.0,,,,,,
Week 12,,76.0,48.0,,118.0,,,,,,
Week 13,,74.0,47.0,,,,,,,,
Week 14,72.0,71.0,52.0,,126.5,,,,,,
Week 15,61.0,70.0,57.0,112.5,,,,,,,
Week 16,65.0,,59.0,100.0,,,,,,,
Final,82.5,76.0,,84.5,,,,,,,
