"('SEC', 59)","('ACC', 65)","('Big Ten', 'DNS')","('American', 'DNS')","('Big 12', 100)","('Sun Belt', 'DNS')","('Pac-12', 'DNS')","('FBS Indep.', 'DNS')","('MAC', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Alabama', 1)","('Notre Dame', 2)","('Ohio State', 3)","('Cincinnati', 6)","('Iowa State', 8)","('Coastal Car', 9)","('USC', 13)","('BYU', 14)","('Buffalo', 23)","('San José State', 25)","('Marshall', 27)"
"('Texas A&M', 5)","('Clemson', 4)","('Indiana', 7)","('Tulsa', 20)","('Oklahoma', 12)","('Louisiana', 17)","('Washington', 30.5)","('Liberty', 22)",,"('Boise St', 28)",
"('Georgia', 10)","('North Carolina', 16)","('Northwestern', 15)","('UCF', 29)","('Texas', 21)","('Appalachian St', 34)",,"('Army', 30.5)",,,
"('Florida', 11)","('Miami', 19)","('Iowa', 18)",,"('Oklahoma St', 26)",,,,,,
"('Auburn', 32)","('NC State', 24)",,,"('TCU', 33)",,,,,,
