"('SEC', 52)","('ACC', 72)","('Big Ten', 71)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Big 12', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('Pac-12', 126.5)","('MAC', 'DNS')","('Mountain West', 'DNS')"
"('Alabama', 1)","('Notre Dame', 2)","('Ohio State', 3)","('Cincinnati', 7)","('BYU', 8)","('Iowa State', 12)","('Coastal Car', 14)","('Marshall', 15)","('USC', 17)","('Buffalo', 27)","('Boise St', 33.0)"
"('Texas A&M', 5)","('Clemson', 4)","('Indiana', 10)","('Tulsa', 22)","('Liberty', 25)","('Oklahoma', 13)","('Louisiana', 20)",,"('Oregon', 21)",,"('San José State', 33.0)"
"('Florida', 6)","('Miami', 9)","('Northwestern', 16)","('SMU', 33.0)",,"('Oklahoma St', 19)",,,"('Washington', 23)",,
"('Georgia', 11)","('North Carolina', 26)","('Wisconsin', 18)","('UCF', 35.5)",,"('Texas', 28)",,,"('Colorado', 30)",,
"('Auburn', 29)","('NC State', 31)","('Iowa', 24)",,,,,,"('Oregon St', 35.5)",,
