"('SEC', 48)","('ACC', 'DNS')","('Big Ten', 76)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 118)","('Big 12', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('Notre Dame', 2)","('Ohio State', 3)","('Cincinnati', 7)","('BYU', 8)","('Oregon', 11)","('Oklahoma St', 14)","('Marshall', 15.5)","('Coastal Car', 15.5)","('Boise St', 31)","('Buffalo', 36.5)"
"('Texas A&M', 5)","('Clemson', 4)","('Indiana', 9)","('Tulsa', 25)","('Liberty', 21)","('USC', 20)","('Iowa State', 17)",,"('Louisiana', 24)","('San José State', 32.5)",
"('Florida', 6)","('Miami', 12)","('Wisconsin', 10)","('SMU', 27)",,"('Utah', 28)","('Oklahoma', 18)",,"('Appalachian St', 32.5)","('Nevada', 34)",
"('Georgia', 13)","('North Carolina', 26)","('Northwestern', 19)","('UCF', 36.5)",,"('Washington', 29)","('Texas', 22)",,,,
"('Auburn', 23)",,"('Iowa', 35)",,,"('Arizona St', 30)",,,,,
