"('ACC', 50)","('SEC', 29)","('Big Ten', 86)","('Big 12', 107)","('American', 'DNS')","('Pac-12', 'DNS')","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Ohio State', 6)","('Texas', 9)","('UCF', 11)","('Oregon', 14)","('BYU', 22)","('Louisiana', 27)","('Marshall', 32)"
"('Notre Dame', 5)","('Florida', 3)","('Penn State', 10)","('Oklahoma St', 17)","('Cincinnati', 15)","('USC', 29)","('Army', 42)","('Arkansas St', 37)","('UAB', 38)"
"('Miami', 8)","('Georgia', 4)","('Wisconsin', 19)","('Oklahoma', 18)","('Memphis', 25)","('Utah', 35)",,,
"('North Carolina', 12)","('Auburn', 7)","('Michigan', 23)","('Kansas St', 30)","('SMU', 31)","('Washington', 40.0)",,,
"('Pitt', 24)","('Texas A&M', 13)","('Minnesota', 28)","('Baylor', 33)",,,,,
"('Virginia Tech', 26)","('Mississippi St', 16)","('Iowa', 34)",,,,,,
"('Virginia', 36)","('LSU', 20)",,,,,,,
"('Louisville', 40.0)","('Tennessee', 21)",,,,,,,
,"('Kentucky', 40.0)",,,,,,,
