"('ACC', 48.5)","('SEC', 53)","('Big Ten', 66.5)","('Big 12', 99)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 156.0)","('CUSA', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Ohio State', 5)","('Oklahoma St', 6)","('Cincinnati', 9)","('BYU', 12)","('Oregon', 13)","('Marshall', 22)","('Coastal Car', 25)","('Air Force', 38)"
"('Notre Dame', 3)","('Georgia', 4)","('Penn State', 8)","('Iowa State', 17)","('SMU', 16)","('Liberty', 33)","('USC', 24)","('UAB', 35)","('Louisiana', 32)",
"('Miami', 11)","('Texas A&M', 7)","('Wisconsin', 14.5)","('Kansas St', 20)","('Memphis', 26)","('Army', 36)","('Utah', 34)",,,
"('North Carolina', 14.5)","('Florida', 10)","('Michigan', 18)","('Oklahoma', 27)","('Tulsa', 28)",,"('Arizona St', 41.5)",,,
"('Virginia Tech', 19)","('Auburn', 30)","('Minnesota', 21)","('West Virginia', 29)",,,"('Washington', 43.5)",,,
"('NC State', 23)","('Arkansas', 37)","('Iowa', 31)","('Texas', 46)",,,,,,
"('Virginia', 41.5)","('Kentucky', 39)","('Indiana', 45)",,,,,,,
,"('Tennessee', 40)",,,,,,,,
,"('South Carolina', 43.5)",,,,,,,,
