AP_XC_4_Team_Race,SEC,Big 12,Pac-10,Big Ten,ACC,WAC,Mountain West,FBS Indep.,Big East,CUSA,MAC,Sun Belt,Other
Preseason,25,38.5,58,64.5,61,,,,123,188,,,
Week 2,22,42,73,75,68,,81,,127,175,,,
Week 3,19.5,49,69,75.5,71,,81,,120,,,,
Week 4,15,48,72,72,60,,106,,,,,,
Week 5,26.5,42.5,77,59,83,,,,,,,,
Week 6,25,52,84,61,70,,,,101,,,,
Week 7,35,51,89,62,,,,,83,,,,
Week 8,35,62,81,68,75,,,,75,,,,
Week 9,33,67,65,66,76,,,,75,,,,
Week 10,41,69,63,58,75,,,,74,,,,
Week 11,40,81,68,65,63,,,,64,,,,
Week 12,43,78,67,54,62,,,,73,,,,
Week 13,40,72,71,62,55,,,,85,,,,
Week 14,47,74,59,54,65,,,,79,,,,
Week 15,52,71,64,53,66,,,,79,,,,
Week 16,,,,,,,,,,,,,
Final,41,63,89,37,66,,74,,79,,,,
