AP_XC_5_Team_Race,SEC,Big Ten,ACC,Pac-12,Big 12,American,FBS Indep.,Mountain West,Sun Belt,CUSA,MAC
Preseason,58.0,59.0,63.0,77.0,82.0,,,,,,
Week 2,63.0,53.0,64.0,73.0,86.0,,,,,,
Week 3,64.0,61.0,61.0,75.0,78.0,,,,,,
Week 4,64.0,59.0,60.0,77.0,86.5,,,,,,
Week 5,66.0,64.0,71.0,79.0,78.0,,,,,,
Week 6,73.0,65.5,72.0,77.0,77.5,,,,,,
Week 7,76.0,57.0,74.0,78.0,83.0,,,,,,
Week 8,76.0,50.0,74.5,91.0,74.0,,,,,,
Week 9,72.0,56.0,72.0,,72.0,,,,,,
Week 10,59.0,65.0,,95.0,72.0,,,,,,
Week 11,57.0,67.0,,102.5,72.0,,,,,,
Week 12,52.0,67.0,87.5,91.0,77.0,,,,,,
Week 13,49.0,69.0,90.0,,,,,,,,
Week 14,56.0,59.0,84.0,,102.0,,,,,,
Week 15,54.0,58.0,89.0,,,,,,,,
Week 16,,,,,,,,,,,
Final,50.0,52.0,,,,,,,,,
