"('SEC', 50)","('Big 12', 'DNS')","('ACC', 'DNS')","('Big Ten', 52)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Oklahoma', 3)","('Clemson', 4)","('OSU', 5)","('UCF', 6)","('Notre Dame', 11)","('USC', 12)","('Boise State', 22)","('FAU', 30)","('Troy', 31)"
"('Georgia', 2)","('TCU', 9)","('Miami', 13)","('Wisconsin', 7)","('USF', 21)","('Army', 29)","('Washington', 16)","('Fresno State', 32)",,
"('Auburn', 10)","('Oklahoma State', 14)","('NC State', 23)","('Penn State', 8)","('Memphis', 25)",,"('Stanford', 20)","('San Diego State', 33)",,
"('LSU', 18)","('Iowa State', 28)","('VT', 24)","('Michigan State', 15)",,,"('Washington St', 26)",,,
"('Miss St', 19)",,,"('Northwestern', 17)",,,,,,
"('South Carolina', 27)",,,"('Iowa', 34)",,,,,,
