"('ACC', 84)","('Big 12', 102.0)","('Big Ten', 59)","('SEC', 56)","('Pac-12', 'DNS')","('American', 'DNS')","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')","('Sun Belt', 'DNS')"
"('Clemson', 1)","('Oklahoma', 2)","('Wisconsin', 3)","('Auburn', 4)","('USC', 11)","('UCF', 12)","('Notre Dame', 15)","('Fresno State', 25)","('Toledo', 30)","('Troy', 36.0)"
"('Miami', 7)","('TCU', 10)","('OSU', 8)","('Alabama', 5)","('Washington', 13)","('Memphis', 16)",,"('San Diego State', 27)",,
"('VT', 22)","('Oklahoma State', 18)","('Penn State', 9)","('Georgia', 6)","('Stanford', 14)","('USF', 23)",,"('Boise State', 29)",,
"('NC State', 26)","('Kansas State', 36.0)","('Michigan State', 19)","('LSU', 17)","('Washington St', 21)",,,,,
"('Louisville', 28)","('Iowa State', 36.0)","('Northwestern', 20)","('Miss St', 24)",,,,,,
"('UVA', 32)",,"('Michigan', 31)","('Missouri', 33)",,,,,,
,,,"('Florida', 34)",,,,,,
