"('SEC', 64)","('ACC', 60)","('Big 12', 86.5)","('Big Ten', 59)","('Pac-12', 77)","('American', 'DNS')","('Mountain West', 'DNS')","('FBS Indep.', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Oklahoma', 3)","('Penn State', 4)","('USC', 5)","('USF', 21)","('San Diego State', 22)","('Notre Dame', 30)"
"('Georgia', 11)","('FSU', 12)","('Oklahoma State', 6)","('Michigan', 8)","('Washington', 7)","('Memphis', 31)",,
"('Auburn', 15)","('VT', 13)","('TCU', 16)","('Wisconsin', 9)","('Washington St', 18)","('Houston', 41.5)",,
"('Miss St', 17)","('Miami', 14)","('West Virginia', 26)","('OSU', 10)","('Utah', 23)",,,
"('Florida', 20)","('Louisville', 19)","('Kansas State', 35.5)","('Maryland', 28)","('Oregon', 24)",,,
"('LSU', 25)","('Duke', 35.5)","('Texas Tech', 38)","('Iowa', 39.5)","('Colorado', 27)",,,
"('Vanderbilt', 29)","('Wake Forest', 39.5)",,"('Michigan State', 41.5)","('Cal', 32)",,,
"('Kentucky', 34)",,,,"('Stanford', 33)",,,
"('Tennessee', 37)",,,,,,,
