"('SEC', 58)","('Big Ten', 59)","('ACC', 63)","('Pac-12', 77)","('Big 12', 82)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('OSU', 2)","('FSU', 3)","('USC', 4)","('Oklahoma', 7)","('USF', 19)","('Notre Dame', 28)","('Boise State', 29)","('Appalachian St', 40.0)"
"('Auburn', 12)","('Penn State', 6)","('Clemson', 5)","('Washington', 8)","('Oklahoma State', 10)","('Houston', 34)","('BYU', 38)","('San Diego State', 36.5)",
"('LSU', 13)","('Wisconsin', 9)","('Louisville', 16)","('Stanford', 14)","('Kansas State', 20)","('Tulsa', 40.0)",,,
"('Georgia', 15)","('Michigan', 11)","('Miami', 18)","('Washington St', 24)","('West Virginia', 22)",,,,
"('Florida', 17)","('Northwestern', 31)","('VT', 21)","('Utah', 27)","('Texas', 23)",,,,
"('Tennessee', 25)","('Nebraska', 40.0)","('NC State', 30)","('Oregon', 33)","('TCU', 26)",,,,
"('Texas A&M', 42.5)","('Michigan State', 44)","('Pitt', 32)","('Colorado', 35)",,,,,
"('Kentucky', 42.5)",,,"('UCLA', 36.5)",,,,,
