"('SEC', 76.0)","('ACC', 74)","('Big Ten', 57)","('Pac-12', 78)","('Big 12', 83)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Penn State', 3)","('Washington', 5)","('TCU', 6)","('Notre Dame', 16)","('USF', 18)","('San Diego State', 19)"
"('Georgia', 4)","('Miami', 11)","('Wisconsin', 7)","('Washington St', 8)","('Oklahoma', 12)",,"('UCF', 22)",
"('Auburn', 10)","('VT', 15)","('OSU', 9)","('USC', 13)","('Oklahoma State', 14)",,"('Navy', 25)",
"('LSU', 30.5)","('NC State', 20)","('Michigan', 17)","('Stanford', 23)","('Texas Tech', 24)",,"('Memphis', 35)",
"('Florida', 30.5)","('Georgia Tech', 26)","('Michigan State', 21)","('Utah', 29)","('West Virginia', 27)",,,
"('Kentucky', 32)","('Louisville', 28)",,,"('Iowa State', 33)",,,
"('Texas A&M', 34)",,,,,,,
