"('Big 12', np.int64(31))","('Big East', 'DNS')","('ACC', 'DNS')","('Pac-10', 'DNS')","('SEC', np.int64(70))","('FBS Indep.', 'DNS')","('WAC', 'DNS')","('Big Ten', np.int64(69))","('CUSA', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')"
"('Oklahoma', 1)","('Miami (FL)', 2)","('Florida State', 3)","('Washington', 4)","('Florida', 7)","('Notre Dame', 11)","('TCU', 13)","('Purdue', 14)","('Louisville', 22)","('Colorado State', 23)","('Toledo', 25)"
"('Kansas State', 8)","('Virginia Tech', 6)","('Clemson', 15)","('Oregon State', 5)","('Auburn', 18)",,,"('Michigan', 16)",,,
"('Nebraska', 10)",,"('Georgia Tech', 17)","('Oregon', 9)","('Tennessee', 21)",,,"('Northwestern', 19)",,,
"('Texas', 12)",,,,"('Georgia', 24)",,,"('Ohio State', 20)",,,
