"('Pac-10', np.int64(55))","('Big 12', 'DNS')","('SEC', np.int64(32))","('ACC', np.int64(42))","('Big Ten', np.int64(55))","('Big East', 'DNS')","('Mountain West', 'DNS')"
"('USC', 1)","('Oklahoma', 2)","('Georgia', 3)","('Florida State', 5)","('Michigan', 8)","('West Virginia', 10)","('Utah', 20)"
"('California', 12)","('Texas', 7)","('LSU', 4)","('Miami (FL)', 6)","('Ohio State', 9)",,
"('Arizona', 19)","('Kansas State', 13)","('Florida', 11)","('Clemson', 15)","('Purdue', 17)",,
"('Oregon', 23)",,"('Tennessee', 14)","('Virginia', 16)","('Wisconsin', 21)",,
,,,"('Georgia Tech', 18)","('Purdue', 24)",,
,,,"('Maryland', 22)","('Minnesota', 25)",,
