"('Pac-10', 'DNS')","('Big 12', np.int64(53))","('SEC', np.int64(38))","('Mountain West', 'DNS')","('CUSA', 'DNS')","('ACC', np.int64(58))","('WAC', 'DNS')","('Big Ten', np.int64(64))","('Big East', np.int64(105))","('MAC', 'DNS')","('FBS Indep.', 'DNS')"
"('USC', 1)","('Oklahoma', 2)","('Auburn', 3)","('Utah', 5)","('Louisville', 7)","('Virginia Tech', 9)","('Boise State', 10)","('Iowa', 11)","('Pittsburgh', 19)","('Toledo', 27)","('Navy', 29)"
"('California', 4)","('Texas', 6)","('Georgia', 8)","('New Mexico', 37)","('Memphis', 30)","('Miami (FL)', 14)","('Fresno State', 31)","('Michigan', 13)","('Boston College', 25)","('Miami (OH)', 34)",
"('Arizona State', 21)","('Texas A&M', 22)","('LSU', 12)",,,"('Florida State', 17)","('UTEP', 33)","('Wisconsin', 16)","('West Virginia', 26)","('Bowling Green', 36)",
,"('Texas Tech', 23)","('Tennessee', 15)",,,"('Virginia', 18)",,"('Ohio State', 24)","('Syracuse', 35)",,
,"('Oklahoma State', 32)","('Florida', 20)",,,,,"('Purdue', 28)",,,
