"('Big East', 'DNS')","('Big 12', np.int64(52))","('SEC', np.int64(76))","('ACC', 'DNS')","('Big Ten', 'DNS')","('Pac-10', np.int64(77))","('MAC', 'DNS')","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')"
"('Miami (FL)', 1)","('Oklahoma', 2)","('Tennessee', 4)","('Florida State', 5)","('Ohio State', 6)","('Washington State', 10)","('Marshall', 16)","('Notre Dame', 20)","('Colorado State', 24)"
"('Virginia Tech', 11)","('Texas', 3)","('Georgia', 9)","('NC State', 19)","('Michigan', 7)","('Oregon', 13)",,,
,"('Nebraska', 8)","('Florida', 12)",,"('Michigan State', 15)","('Washington', 14)",,,
,"('Colorado', 18)","('LSU', 25)",,"('Wisconsin', 22)","('USC', 17)",,,
,"('Texas A&M', 21)","('South Carolina', 26)",,,"('UCLA', 23)",,,
