AP_XC_5_Team_Race,Pac-10,Big 12,SEC,ACC,Big Ten,Big East,Mountain West,CUSA,WAC,FBS Indep.,Sun Belt,MAC
Preseason,,,,60,79,,,,,,,
Week 2,102,67,52,67,76,,,,,,,
Week 3,,91,46,73,80,,,,,,,
Week 4,,92,52,79,79,,,,,,,
Week 5,,90,50.5,82,79,,,,,,,
Week 6,,90,62,72,69,,,,,,,
Week 7,,76.5,71,75.5,73,,,,,,,
Week 8,98,75,62,75,86,,,,,,,
Week 9,,77.0,69,74.5,82,,,,,,,
Week 10,94,77,67,96,97,,,,,,,
Week 11,,81,71,88,,,,,,,,
Week 12,,84.5,71.0,82.5,100,,,,,,,
Week 13,,86,65,87,101,,,,,,,
Week 14,,83,59,90,96,,,,,,,
Week 15,,85,58,,92,,,,,,,
Week 16,,85,58,,92,,,,,,,
Final,,85,64,93,92,,,,,,,
