"('SEC', 41)","('Big 12', 49)","('ACC', 44)","('Pac-12', 50)","('Big Ten', 30)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')"
"('Alabama', 1)","('Oklahoma', 2)","('Clemson', 3)","('USC', 4)","('Penn State', 5)","('USF', 22)","('Notre Dame', 32)","('San Diego State', 33)"
"('LSU', 12)","('Oklahoma State', 9)","('FSU', 11)","('Washington', 6)","('Michigan', 7)","('Houston', 34)",,"('Boise State', 35.5)"
"('Georgia', 13)","('Kansas State', 18)","('Louisville', 14)","('Stanford', 19)","('OSU', 8)",,,
"('Auburn', 15)","('TCU', 20)","('VT', 16)","('Washington St', 21)","('Wisconsin', 10)",,,
"('Tennessee', 23)","('West Virginia', 29)","('Miami', 17)","('UCLA', 25)","('Maryland', 31)",,,
"('Florida', 24)","('Texas Tech', 38.5)",,"('Utah', 26)","('Iowa', 38.5)",,,
"('South Carolina', 27)",,,"('Colorado', 28)","('Michigan State', 41)",,,
"('Miss St', 35.5)",,,"('Oregon', 30)",,,,
"('Vanderbilt', 38.5)",,,"('Cal', 38.5)",,,,
