"('SEC', 49)","('Big Ten', 31)","('Big 12', 46)","('ACC', 45.5)","('Pac-12', 60)","('FBS Indep.', 'DNS')","('American', 96.0)","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Alabama', 1)","('Penn State', 2)","('TCU', 4)","('Clemson', 7)","('USC', 11)","('Notre Dame', 13)","('USF', 16.5)","('San Diego State', 26)","('Marshall', 38.0)"
"('Georgia', 3)","('Wisconsin', 5)","('Oklahoma', 9)","('Miami', 8)","('Washington', 12)",,"('UCF', 20)",,
"('Auburn', 21)","('OSU', 6)","('Oklahoma State', 10)","('VT', 14)","('Washington St', 15)",,"('Memphis', 25)",,
"('LSU', 24)","('Michigan State', 18)","('West Virginia', 23)","('NC State', 16.5)","('Stanford', 22)",,"('Navy', 34.5)",,
"('Texas A&M', 27)","('Michigan', 19)","('Iowa State', 28)","('UVA', 29)","('Utah', 31)",,,,
"('Kentucky', 30)","('Iowa', 34.5)","('Texas Tech', 34.5)","('Georgia Tech', 38.0)",,,,,
"('Miss St', 32)",,,"('FSU', 38.0)",,,,,
"('South Carolina', 34.5)",,,,,,,,
