"('SEC', 31)","('ACC', 57)","('Big 12', 48)","('Big Ten', 45)","('FBS Indep.', 'DNS')","('Pac-12', 63)","('American', 'DNS')","('Mountain West', 'DNS')"
"('Alabama', 1)","('Miami', 2)","('Oklahoma', 3)","('Wisconsin', 5)","('Notre Dame', 9)","('USC', 12)","('UCF', 14)","('Boise State', 30.5)"
"('Auburn', 6)","('Clemson', 4)","('Oklahoma State', 10)","('OSU', 8)","('Army', 32)","('Washington St', 15)","('Memphis', 18)",
"('Georgia', 7)","('NC State', 25)","('TCU', 11)","('Penn State', 13)",,"('Washington', 16)","('USF', 23)",
"('Miss St', 17)","('VT', 26)","('West Virginia', 24)","('Michigan', 19)",,"('Stanford', 20)",,
"('LSU', 21)","('Georgia Tech', 30.5)","('Iowa State', 29)","('Michigan State', 22)",,"('Arizona', 28)",,
"('South Carolina', 33.5)",,,"('Northwestern', 27)",,,,
,,,"('Iowa', 33.5)",,,,
