"('SEC', 38)","('Big Ten', 38)","('FBS Indep.', 'DNS')","('ACC', 48)","('Big 12', 43)","('Pac-12', 70)","('American', 'DNS')","('MAC', 'DNS')","('Mountain West', 'DNS')"
"('Alabama', 1)","('OSU', 3)","('Notre Dame', 5)","('Clemson', 6)","('Oklahoma', 8)","('Washington', 12)","('UCF', 15)","('Toledo', 28)","('San Diego State', 31)"
"('Georgia', 2)","('Wisconsin', 4)","('Army', 32.5)","('Miami', 9)","('TCU', 10)","('USC', 17)","('Memphis', 22)",,"('Boise State', 32.5)"
"('Auburn', 16)","('Penn State', 7)",,"('VT', 13)","('Oklahoma State', 11)","('Stanford', 18)","('USF', 26)",,
"('LSU', 19)","('Michigan State', 24)",,"('NC State', 20)","('Iowa State', 14)","('Arizona', 23)",,,
"('Miss St', 21)","('Michigan', 27)",,,"('West Virginia', 29)","('Washington St', 25)",,,
"('South Carolina', 30)",,,,,,,,
