"('SEC', 30)","('ACC', 59)","('Big 12', 58)","('Big Ten', 46)","('FBS Indep.', 'DNS')","('Pac-12', 60)","('American', 'DNS')","('Mountain West', 'DNS')"
"('Alabama', 1)","('Miami', 2)","('Oklahoma', 3)","('Wisconsin', 5)","('Notre Dame', 9)","('USC', 11)","('UCF', 13)","('Boise State', 25)"
"('Auburn', 6)","('Clemson', 4)","('TCU', 10)","('OSU', 8)",,"('Washington St', 14)","('Memphis', 17)","('San Diego State', 30)"
"('Georgia', 7)","('VT', 24)","('Oklahoma State', 18)","('Penn State', 12)",,"('Washington', 15)","('USF', 22)","('Fresno State', 32.5)"
"('Miss St', 16)","('NC State', 29)","('Iowa State', 27)","('Michigan State', 21)",,"('Stanford', 20)",,
"('LSU', 19)","('Wake Forest', 31)",,"('Northwestern', 23)",,,,
"('South Carolina', 28)",,,"('Michigan', 26)",,,,
"('Texas A&M', 32.5)",,,,,,,
