"('SEC', 39.5)","('ACC', 48)","('Big 12', 49)","('Big Ten', 30)","('Pac-12', 51)","('American', 107.5)","('Mountain West', 'DNS')","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Oklahoma', 3)","('Penn State', 4)","('Washington', 6)","('USF', 18)","('San Diego State', 19)","('Notre Dame', 21.5)","('Troy', 35.5)"
"('Georgia', 5)","('Miami', 13)","('TCU', 8)","('Michigan', 7)","('Washington St', 11)","('UCF', 25)",,,
"('Auburn', 12)","('VT', 16)","('Oklahoma State', 15)","('Wisconsin', 9)","('USC', 14)","('Navy', 31)",,,
"('Florida', 21.5)","('Louisville', 17)","('West Virginia', 23)","('OSU', 10)","('Utah', 20)","('Memphis', 33.5)",,,
"('Texas A&M', 33.5)","('NC State', 24)","('Texas Tech', 28.5)","('Maryland', 35.5)","('Oregon', 26)",,,,
,"('FSU', 27)","('Kansas State', 32)",,"('Stanford', 30)",,,,
,"('Georgia Tech', 28.5)",,,,,,,
