"('ACC', 'DNS')","('Big Ten', 51)","('SEC', 80)","('Big 12', 'DNS')","('FBS Indep.', 'DNS')","('American', 'DNS')","('Pac-12', 102)","('MAC', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')"
"('Clemson', 1)","('OSU', 2)","('Alabama', 3)","('Oklahoma State', 4)","('Notre Dame', 5)","('Houston', 13)","('Stanford', 15)","('Toledo', 26)","('W Kentucky', 35.5)","('Arkansas State', 37.5)","('Air Force', 37.5)"
"('UNC', 12)","('Iowa', 6)","('Florida', 8)","('Oklahoma', 7)",,"('Navy', 19)","('Utah', 18)","('Bowling Green', 35.5)",,,
"('FSU', 16)","('Michigan State', 9)","('LSU', 17)","('Baylor', 10)",,"('Memphis', 28)","('USC', 22)",,,,
"('Pitt', 31)","('Michigan', 14)","('Ole Miss', 25)","('TCU', 11)",,"('Temple', 32)","('Oregon', 23)",,,,
,"('Northwestern', 20)","('Arkansas', 27)",,,,"('Washington St', 24)",,,,
,"('Wisconsin', 21)","('Miss St', 29)",,,,"('UCLA', 30)",,,,
,,"('Texas A&M', 33.5)",,,,,,,,
,,"('Georgia', 33.5)",,,,,,,,
