"('Big Ten', 60)","('SEC', 47)","('Big 12', 67)","('FBS Indep.', 'DNS')","('Pac-12', 76)","('ACC', 129)","('MAC', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')"
"('OSU', 1)","('Ole Miss', 3)","('TCU', 4)","('Notre Dame', 6)","('UCLA', 7)","('FSU', 11)","('Toledo', 26)","('Boise State', 29)","('Houston', 32)"
"('Michigan State', 2)","('Georgia', 8)","('Baylor', 5)","('BYU', 40.5)","('Utah', 10)","('Clemson', 12)",,,"('Temple', 34)"
"('Northwestern', 16)","('LSU', 9)","('Oklahoma', 15)",,"('USC', 17)","('Duke', 33)",,,"('Memphis', 37)"
"('Wisconsin', 19)","('Alabama', 13)","('Oklahoma State', 20)",,"('Stanford', 18)","('Miami', 35)",,,"('Navy', 39)"
"('Michigan', 22)","('Texas A&M', 14)","('West Virginia', 23)",,"('Cal', 24)","('NC State', 38)",,,
"('Iowa', 30)","('Miss St', 21)","('Texas Tech', 31)",,"('Oregon', 27)",,,,
"('Minnesota', 40.5)","('Florida', 25)","('Kansas State', 36)",,"('Arizona', 28)",,,,
,"('Tennessee', 42)",,,,,,,
