"('Big Ten', 70.0)","('Big 12', 67)","('Pac-12', 94)","('SEC', 65.5)","('ACC', 92)","('FBS Indep.', 'DNS')","('American', 'DNS')","('MAC', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')"
"('OSU', 1)","('Baylor', 2)","('Utah', 3)","('LSU', 5)","('Clemson', 6)","('Notre Dame', 11)","('Memphis', 18)","('Toledo', 19)","('W Kentucky', 32)","('Boise State', 34.5)"
"('Michigan State', 7)","('TCU', 4)","('Stanford', 10)","('Alabama', 8)","('FSU', 9)","('BYU', 27)","('Houston', 21)",,,"('Utah State', 36)"
"('Iowa', 12)","('Oklahoma State', 14)","('Cal', 20)","('Florida', 13)","('Duke', 23)",,"('Temple', 22)",,,
"('Michigan', 15.5)","('Oklahoma', 17)","('UCLA', 28)","('Texas A&M', 15.5)","('Pitt', 25)",,,,,
"('Wisconsin', 34.5)","('Texas Tech', 30)","('Arizona State', 33)","('Ole Miss', 24)","('UNC', 29)",,,,,
"('Northwestern', 37)",,,"('Miss St', 26)",,,,,,
,,,"('Georgia', 31)",,,,,,
