"('ACC', 'DNS')","('SEC', 85)","('Big Ten', 45)","('Big 12', 'DNS')","('Pac-12', 98.5)","('FBS Indep.', 'DNS')","('American', 126.5)","('CUSA', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')","('Sun Belt', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Michigan State', 3)","('Oklahoma', 4)","('Stanford', 5)","('Notre Dame', 8)","('Houston', 14)","('W Kentucky', 25)","('San Diego State', 30)","('Bowling Green', 34.5)","('Arkansas State', 39)"
"('FSU', 9)","('Ole Miss', 16)","('Iowa', 6)","('TCU', 11)","('Oregon', 15)","('BYU', 28)","('Navy', 21)",,,"('Toledo', 37.5)",
"('UNC', 10)","('Florida', 19)","('OSU', 7)","('Oklahoma State', 13)","('Utah', 20)",,"('Temple', 24)",,,,
,"('LSU', 22)","('Northwestern', 12)","('Baylor', 18)","('USC', 27)",,"('Memphis', 33)",,,,
,"('Georgia', 26)","('Michigan', 17)",,"('Washington St', 31.5)",,"('USF', 34.5)",,,,
,"('Tennessee', 29)","('Wisconsin', 23)",,"('UCLA', 37.5)",,,,,,
,"('Arkansas', 31.5)",,,,,,,,,
,"('Miss St', 36)",,,,,,,,,
