"('Big Ten', 57)","('Big 12', 71)","('Pac-12', 88)","('ACC', 'DNS')","('SEC', 46)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')","('American', 'DNS')","('CUSA', 'DNS')"
"('OSU', 1)","('Baylor', 2)","('Utah', 4)","('Clemson', 5)","('LSU', 6)","('Notre Dame', 14)","('Boise State', 21)","('Toledo', 22)","('Houston', 24)","('W Kentucky', 33.5)"
"('Michigan State', 7)","('TCU', 3)","('Stanford', 15)","('FSU', 11)","('Florida', 8)","('BYU', 32)",,,"('Temple', 26)",
"('Michigan', 12)","('Oklahoma State', 16)","('UCLA', 18)","('Duke', 25)","('Texas A&M', 9)",,,,"('Memphis', 27)",
"('Iowa', 17)","('Oklahoma', 19)","('Cal', 23)","('UNC', 38)","('Alabama', 10)",,,,"('Navy', 37)",
"('Northwestern', 20)","('Texas Tech', 31)","('Arizona State', 28)",,"('Ole Miss', 13)",,,,,
"('Penn State', 35.5)",,"('USC', 33.5)",,"('Miss St', 29)",,,,,
,,,,"('Georgia', 30)",,,,,
,,,,"('Kentucky', 35.5)",,,,,
