"('FBS Indep.', 'DNS')","('SEC', np.int64(31))","('Big Ten', np.int64(92))","('Pac-12', np.int64(82))","('Big 12', np.float64(114.0))","('ACC', 'DNS')","('MAC', 'DNS')","('WAC', 'DNS')","('Mountain West', 'DNS')","('Big East', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')"
"('Notre Dame', 1)","('Alabama', 2)","('Ohio State', 3)","('Oregon', 5)","('Kansas State', 7)","('Florida State', 13)","('Northern Illinois', 16)","('Utah State', 18)","('Boise State', 20)","('Louisville', 22)","('Arkansas State', 36)","('Tulsa', 38)"
,"('Florida', 4)","('Michigan', 19)","('Stanford', 8)","('Oklahoma', 12)","('Clemson', 14)","('Kent State', 25)","('San Jose State', 24)","('San Diego State', 30)","('Cincinnati', 33.0)","('Louisiana Monroe', 47.0)","('East Carolina', 47.0)"
,"('Georgia', 6)","('Northwestern', 21)","('Oregon State', 15)","('Texas', 29)","('North Carolina', 41.5)","('Ball State', 40)","('Louisiana Tech', 47.0)","('Fresno State', 31)","('Rutgers', 39)",,"('UCF', 47.0)"
,"('LSU', 9)","('Nebraska', 23)","('UCLA', 17)","('Oklahoma State', 33.0)",,"('Toledo', 47.0)",,,"('Syracuse', 47.0)",,
,"('Texas A&M', 10)","('Penn State', 26)","('USC', 37)","('Baylor', 33.0)",,,,,,,
,"('South Carolina', 11)","('Wisconsin', 28)","('Arizona', 47.0)","('TCU', 35)",,,,,,,
,"('Vanderbilt', 27)",,"('Arizona State', 47.0)","('West Virginia', 41.5)",,,,,,,
,"('Mississippi State', 47.0)",,,,,,,,,,
