AP_XC_5_Team_Race,Big 12,Big Ten,Big East,SEC,Pac-10,ACC,FBS Indep.,Mountain West,CUSA,MAC,WAC
Preseason,64,75,,69,,,,,,,
Week 2,61,70,,71,108,,,,,,
Week 3,49,74,117,77,111,,,,,,
Week 4,58,78,,61,85,151,,,,,
Week 5,69,74,,61,80,135,,,,148,
Week 6,74,78,,56,99,,,,,,
Week 7,71,72.5,,63,110,,,,,,
Week 8,86,59,,65,,,,,,,
Week 9,78,58,,73,,,,,,,
Week 10,64.5,59,,73,,,,,,,
Week 11,74,55,,68,,,,,,,
Week 12,78,59,,51,,,,,,,
Week 13,74,68,106.5,46.5,,,,,,,
Week 14,69,64,109,43,,,,,,,
Week 15,65,60,125,48,,,,,,,
Week 16,59,60,124,52,,,,,,,
Final,74,56,,61,,111,,,,,
